01|1.000|4.700|Most websites still assume one cursor: yours.
02|4.700|8.445|When AI helps, its work is often hidden behind a chat box.
03|8.795|12.500|Second Cursor proposes a new interaction model.
04|12.500|16.087|The human and the agent share the same live surface,\nat the same time.
05|16.437|19.900|In Moving Day, the white cursor expresses taste.
06|19.900|25.902|The blue cursor makes the Agent's intent visible:\nwhat it targets, why it moves, and when it waits.
07|26.252|29.600|This is not chain of thought.
08|29.600|36.257|It is actionable disclosure: intent, progress, changes,\nconstraints, and when control returns to the human.
09|36.607|42.200|The Agent can inspect the room, point out a problem,\nand move or rotate unlocked furniture.
10|42.200|47.461|Every action happens through six structured WebMCP tools\nconnected to the live page.
11|47.811|51.100|But authority stays human.\nLock an object and the Agent must preserve it.
12|51.100|54.300|Grab an item and the Agent yields.
13|54.300|58.843|When two choices are equally valid,\nthe Agent asks instead of guessing.
14|59.193|64.209|Second Cursor turns AI from an invisible operator\ninto an understandable collaborator.
15|64.559|66.790|One workspace. Two cursors.
